sequence,title,arcana,suit,rank,canonical_filename,source_filename,source_format,width,height,canonical_format,sha256,qc_status,notes
0,THE FOOL,Major,,,00_THE_FOOL.png,00_THE_FOOL_941x1672_MASTER.png,PNG,941,1672,PNG,6d80756d7ccb1753d6525355cf7daf30a0ca969f9e1a5e358ce26a279323cdb8,PASS,
1,THE MAGICIAN,Major,,,01_THE_MAGICIAN.png,file_00000000bde081fa9f6e42feb9bf513b.png,PNG,941,1672,PNG,a45e326b9e397ee2e023b9fbb27e8811bee9bf271fbf3260fa4ecfca298b81f6,PASS,
2,THE HIGH PRIESTESS,Major,,,02_THE_HIGH_PRIESTESS.png,file_00000000c620820b96eb623eff841d8b.png,PNG,941,1672,PNG,750d274cafeea92d96f32b31063c95b02efa716b542d096fbfd67ceddc374dca,PASS,Keep cool/dark; mystery and lunar symbolism benefit from it.
3,THE EMPRESS,Major,,,03_THE_EMPRESS.png,file_00000000bab481faafa56acb99971965.png,PNG,941,1672,PNG,7f158aba0a904511326d0c6a4eac8fc6cbf62cc0d1e625132ac7a02f144538a2,PASS,
4,THE EMPEROR,Major,,,04_THE_EMPEROR.png,file_00000000449081faab72cd579ac8a7b7.png,PNG,941,1672,PNG,7ab7e7565322c5ec779dfea38232258dd61987ecebc318ec111cd244d3851128,PASS,
5,THE HIEROPHANT,Major,,,05_THE_HIEROPHANT.png,file_000000000e18820bae1360e4519a62d9.png,PNG,941,1672,PNG,a03104f4fc1748d010dcdf71d68dd7130b6b37006d3bad38bfc2c76a741d6373,PASS,
6,THE LOVERS,Major,,,06_THE_LOVERS.png,file_00000000cac4821186bf84251f14e2ee.png,PNG,941,1672,PNG,618b32f8b7a1f7725bcf190ddd1961accd54b41d9c44722113b89ec90bfbce8b,PASS,
7,THE CHARIOT,Major,,,07_THE_CHARIOT.png,file_00000000af3c81fa9a5a44019498bade.png,PNG,941,1672,PNG,29280ffced2fd22200e0f0c92ea61961ca5546e6e411a3f4765d47b54d6e6aa5,PASS,
8,STRENGTH,Major,,,08_STRENGTH.png,file_0000000078fc820b804e2d9ba0c8f7cb.png,PNG,941,1672,PNG,e1797ffadc375b65267aede2fdb70e3be6e91d7452059e2e056d1d1fd1949a6f,PASS,
9,THE HERMIT,Major,,,09_THE_HERMIT.png,file_0000000054e48211bdcda12bf9812da6.png,PNG,941,1672,PNG,6b2a61e4523d9e1a2405bfdaa3cc7fcec5f31750f3f21011683c9a3f1fee24f3,PASS,Keep low-key/cool; lantern remains the correct visual anchor.
10,WHEEL OF FORTUNE,Major,,,10_WHEEL_OF_FORTUNE.png,file_00000000a32c8211a707776c3a5db6ab.png,PNG,941,1672,PNG,e486d22dbefa3f1f12c2c4ef91b2ffbd8ea6a18f4cd8ce912d65225bba2e6cc4,PASS,
11,JUSTICE,Major,,,11_JUSTICE.png,file_00000000ce94820ba2096d8dad1f08c7.png,PNG,941,1672,PNG,85c0e8a631191a9bb94167b2241de70591808e9c37fbfd60f101f2900f6a39c1,PASS,
12,THE HANGED MAN,Major,,,12_THE_HANGED_MAN.png,file_00000000d95481fabd144a6de6c23206.png,PNG,941,1672,PNG,7159cba5484bdbddad2279fac8bbc8fc72d4cf2a054f43406b5e9e6e3a068806,PASS,
13,DEATH,Major,,,13_DEATH.png,file_00000000894c820bbc1deaa1d0c77502.png,PNG,941,1672,PNG,b8f3773b3ad3d31803b050c9dfd1daaaab542a3e0b455fe5843b2bcc5a90b256,PASS,
14,TEMPERANCE,Major,,,14_TEMPERANCE.png,file_00000000a63881fab8a7d379cb83212e.png,PNG,941,1672,PNG,9e0aa511e0ff3149eb5cfe4a14480eafa77e6751c2c9c4d19bfca4625ed79f8f,PASS,
15,THE DEVIL,Major,,,15_THE_DEVIL.png,file_00000000bcd481faa9590f822f6f8e70.png,PNG,941,1672,PNG,78d4a38e0ee12623b209a12c87f463b055e888eb02d3c0a3dff2b6941af1149c,PASS,Keep dark; dramatic warmth and low-key exposure are intentional.
16,THE TOWER,Major,,,16_THE_TOWER.png,file_000000005a78820bb3b00a2401fe5f41.png,PNG,941,1672,PNG,172bc14d145cdeee8c2d862ae0d8c0954e2aaa235183bf3334871d15135ba9f4,PASS,
17,THE STAR,Major,,,17_THE_STAR.png,file_00000000d784820ba4873c0ff7181def.png,PNG,941,1672,PNG,1e057018e7e8ec110b8972b4d488d5a6eb256d6a2386b753275a61395fedacf4,PASS,
18,THE MOON,Major,,,18_THE_MOON.png,file_000000002d288211926461df0a330628.png,PNG,941,1672,PNG,9bf6c0f7ace0898da5885b45f9a9c8ba70911bc4980efa0538435c2e541b486b,PASS,Keep cool/dark; nocturnal uncertainty is appropriate.
19,THE SUN,Major,,,19_THE_SUN.png,file_00000000b29c81fa9497679d78abfff6.png,PNG,941,1672,PNG,43b22d73d01cb4a91f294451d8884c2167871407ace9dcbe1e7625a0b3cbf3c6,PASS,
20,JUDGEMENT,Major,,,20_JUDGEMENT.png,file_000000006928820b8284e85bd5a53251.png,PNG,941,1672,PNG,c5248b50bdda1c03df8a5d7e682578afed935332ca5ba8146fbd091399808ade,PASS,
21,THE WORLD,Major,,,21_THE_WORLD.png,file_000000001f9881faa287ae3ab144666a.png,PNG,941,1672,PNG,b414ec57c2e9667e3e9d6df0b1f4f0b167fb9b654498f27e52cfdd47986065f2,PASS,
22,ACE OF WANDS,Minor,Wands,Ace,22_ACE_OF_WANDS.png,file_00000000661081fa9048b48e1cb1f9ca.png,PNG,941,1672,PNG,cab11c9bef9efe57997b5717aaecfcc7c22aabbd0e829da5efc351a8df9dffea,PASS,
23,TWO OF WANDS,Minor,Wands,Two,23_TWO_OF_WANDS.png,file_000000004f5881fa93d543ca8e2ea55e.png,PNG,941,1672,PNG,6bed2af6e8cc2d05af83ad94cbbd7f1d3e7b952041e1b40cb59911aaf66f73ae,PASS,
24,THREE OF WANDS,Minor,Wands,Three,24_THREE_OF_WANDS.png,file_00000000b8ec820bb328ef69cc4182f9.png,PNG,941,1672,PNG,355482b2cfd0a2a8e435f14d96cd966d7b98e5126878ff04ae811727d267b484,PASS,
25,FOUR OF WANDS,Minor,Wands,Four,25_FOUR_OF_WANDS.png,file_0000000092a081fab47fde2e8134f00d.png,PNG,941,1672,PNG,da68f9f39094907b8fcba6b3cbb832960575445f6add6316bf6ee345ddb60c42,PASS,
26,FIVE OF WANDS,Minor,Wands,Five,26_FIVE_OF_WANDS.png,file_0000000091c8820bb34a6fa02ab5331b.png,PNG,941,1672,PNG,2462d01b8bac19fd95d522ff3974c302611a1ec0e848d59b558133c2c0cc90aa,PASS,
27,SIX OF WANDS,Minor,Wands,Six,27_SIX_OF_WANDS.png,file_000000009bac81fab7ffabd80b7233be.png,PNG,941,1672,PNG,cda792501c78831b41e49d33c96ae0b093c45a5c0ba739cd29cc76a02eb7bfd0,PASS,
28,SEVEN OF WANDS,Minor,Wands,Seven,28_SEVEN_OF_WANDS.png,file_0000000022548211bd0cb416ab0fe898.png,PNG,941,1672,PNG,7a4db244cdffdb408f3d3114687482f59b8bd8932183fc7d4c449c5bcc9e9c22,PASS,
29,EIGHT OF WANDS,Minor,Wands,Eight,29_EIGHT_OF_WANDS.png,file_000000004ca0820ba3d7f81d34c1e39a.png,PNG,941,1672,PNG,718f0e54f03283396783547a167116ee6554ced44ca59fe09f1e9b09eb5e06d7,PASS,
30,NINE OF WANDS,Minor,Wands,Nine,30_NINE_OF_WANDS.png,file_00000000e76081fabdffc8c1eb801fd9.png,PNG,941,1672,PNG,c592af37d524dcc78bc1d9c4f94818241eb02822add27f9b48347360349f7371,PASS,
31,TEN OF WANDS,Minor,Wands,Ten,31_TEN_OF_WANDS.png,file_00000000460881fabe3a17aca8cee5a6.png,PNG,941,1672,PNG,87c0f3e7d9470ef2056776026df7e6cb1c63befdddbab279fa7c14f514207ead,PASS,
32,PAGE OF WANDS,Minor,Wands,Page,32_PAGE_OF_WANDS.png,file_00000000bd4c81fa831e6874542655eb.png,PNG,941,1672,PNG,862bf11341cbd9039e340823eb5e0e3573e04f724878922ded61f8f4088a2d92,PASS,
33,KNIGHT OF WANDS,Minor,Wands,Knight,33_KNIGHT_OF_WANDS.png,file_00000000c44c81faa380d11d5403fc90.png,PNG,941,1672,PNG,b218833e607bb40c8d59be3cb875c67b033362f262cc07a0d88db702bf0a8cd1,PASS,
34,QUEEN OF WANDS,Minor,Wands,Queen,34_QUEEN_OF_WANDS.png,file_00000000ec9c81fa83044cb841f48356.png,PNG,941,1672,PNG,502b5b204dd9526df4115267039454d4a54b4d6a16206398abf172696616f5fc,PASS,
35,KING OF WANDS,Minor,Wands,King,35_KING_OF_WANDS.png,file_000000001ac0820ba4f6418e6182bc33.png,PNG,941,1672,PNG,58294d4dc7556d5acddedd48e511e45fd0321538920222173e3b27be187b9789,PASS,
36,ACE OF CUPS,Minor,Cups,Ace,36_ACE_OF_CUPS.png,file_0000000064e4820b913209efd272acac.png,PNG,941,1672,PNG,5bdddaee9e46adefbcd8c62dae5e126d077f7a04d8ce0edbe0338a0c9a24bf7c,PASS,
37,TWO OF CUPS,Minor,Cups,Two,37_TWO_OF_CUPS.png,file_000000009e9081fa8859ca924171c8a3.png,PNG,941,1672,PNG,b2766129d73be60dfbc153e2f1ab908ca8ea3a58e0e9c80a63fd5f94dad50d63,PASS,
38,THREE OF CUPS,Minor,Cups,Three,38_THREE_OF_CUPS.png,file_0000000050ec81fab9265a041c519b55.png,PNG,941,1672,PNG,e58271e41ff6aed7cb1d47cc9ea4086d053fa22df020b9d84b2662e16c0f262f,PASS,
